研究課題/領域番号,研究課題名,研究課題名 (英文),教員名,研究代表者,キーワード,研究分野,研究内容,研究内容 (英文)
13640093,リーマン多様体の曲率と幾何構造に関する大域的研究,Global Studies on Curvature and Geometric Structures of Riemannian Manifolds,糸川 銚,"糸川 銚 福岡工業大学, 情報工学部, 教授 (90223205)",リーマン多様体 / 断面曲率 / 比較定理 / 局所擬凸空間 / 関数の延長 / Hahn-Banach型定理 / Euler方程式 / ガレルキン近似 / 最短閉側地線 / 局所擬凸複素空間 / 正則関数の延長 / 局所凸空間 / トポノゴフの三角形比較定理,幾何学 / 数学 / 理学,"研究代表者の糸川は、佐賀大学の塩濱勝博、大阪教育大学の町頭義朗との共著詮文""Maximal diameter theorems for manifolds with restricted radial curvature""および""Generalized Toponogov's theorem for manifolds with radial curvature bounded below""において、ある一点からの放射方向に関する断面曲率が下から関数により抑えられているリーマン多様体を研究し、三角形比較定理を得た。更に、評価において等号が得られるとき、そのような多様体は非常に特殊な幾何構造を持つ。特に、全測地的な曲面辺を内包する。また、新しい球面定理に対して、その応用も示した。
研究分担者の西原賢は、無限次元局所擬凸複素空間上の関数の延長についての研究を続けている。""The extension of polynomials of integral type in locally convex spaces and its applications""と""The extension of entire functions of nuclear type on locally convex paces""において、局所凸空間上の多項式や正則関数の全空間への延長可能性に関する自身の結果を更に発展させた。論文""The extension of entire functions of nuclear type""ではまた、Meise-Vogtや西原自身のnuclear typeの正則関数に対するHahn-Banach型定理を拡張した。発表予定の最近の論文""A Hahn-Banach Extension theorem for entire functions of nuclear type""で、この結果は更に一般化されている。また、西原は、発表予定の""Pseudoconvex domains of infinite dimensional Grassmann manifolds""で、バナッハ空間上の正規擬凸領域の消滅定理を証明した。
平成13年度のみ、白川に代わり研究を分担した西山は、論文""Pseudo-advection method for the axisymmetric stationary Eular equations""および""Magnetohydrodynamic approach to solvability of the three-dimensional statiaonary Euler equations""において、それぞれ軸対称なオイラー方程式や一般3次元のオイラー方程式の定常解をえるために、与えられた方程式に随伴したある種の方程式に対してガレルキン近似を用いる方法が有効である事を示した。","Head investigator, Itokawa in the papers ""Maximal diameter theorem for manifolds with restricted radial curvature"" and ""Generalized Toponogov's theorem for manifolds with radial curvature bounded below"" written jointly with Katsuhiro Shiohama of Saga University and Yoshiro Machigashira of Osaka University of Educations, investigated riemannian manifolds whose sectional curvature in radial directions from a fixed point is bounded from below by certain function. We have obtained some triangle comparison theorems generalizing that of Toponogov. Moreover, in case equality is attained in these comparisons, these manifolds exhibit very rigid geometrical structure containing some totally geodesic surfaces. We have also obtained some applications of these results including a new sphere theorem.
Investigator Nishihara is continuing his study on the extendibility of certain functions on infinite dimensional locally pseudo-convex spaces. In ""The extension of polynomials of integral type in locally convex spaces and its applications"" and ""The extension of entire functions of nuclear type on locally convex spaces"", he has extended his own results on the extendibility to the total space of polynomials and holomorphic functions which are a priori only defined on locally convex spaces. In the paper ""The extension of entire function of nuclear type"", he has also succeeded in generalizing Hahn-Banach type theorems of Meise-Vogt and of Nishihara himself. Further extension will be discussed in a forthcoming paper ""A Hahn-Banach extension theorem for entire functions of nuclear type"". In another forthcoming paper ""Pseudoconvex domains of infinite dimensional Grassmann manifolds"", Nishihara has also proved a vanishing theorem for regular pseudoconvex domains in Banach spaces.
Nishiyama who has substituted as an investigator for the year 2001 has written two papers ""Pseudo-advection methods for the axisymmetric stationary Euler equations"" and ""Magnetohydrodynamic approach to the solvability of the three-dimensional stationary Euler equations"". In these papers, Nishiyama studied the methods for obtaining stationary solutions to certain Euler type equations. In particular, he established the effectiveness of the method of using the Galerkin approximation on certain accompanying equations associated to the given equation in case the given equation has a rotationary symmetry around the axis and for general equations in dimension 3."
13450061,ペンシル形・微小径電鋳工具の開発とメカニカルマイクロファブリケーションへの応用,Development of mechanical micro-fabrication system using pencil-shape electroformed tool,藤山 博一,"藤山 博一 福岡工業大学, 工学部, 助教授 (50148912)",マイクロ研削 / ニッケル / リンめっき / マイクロツルーイング / マイクロドレッシング / 超精密微細型 / ダイヤモンド砥粒 / 研削工具 / 電鋳工具 / 高速電鋳 / アモルファスめっき / ダイヤモンド工具 / マイクロ金型 / マイクロ研削工具 / ツルーイング / ドレッシング / cBN砥粒 / 研削加工,機械工作・生産工学 / 機械工学 / 工学,"平成13年〜平成15年の3年間,LIGAプロセスの露光プロセスをマイクロ研削で置換した,メカニカルマイクロファブリケーションシステムの開発を行った.平成13年度に得られた研究の成果を踏まえ,平成15年度までに以下の4つの項目に関する研究を推進した.
(1)現時点で最も耐欠損性に優れている極微粒ダイヤモンド電鋳工具の開発,
(2)極微粒ダイヤモンド電鋳工具に対するツルーイングとドレッシング技術の開発,
(3)極微粒ダイヤモンド電鋳工具を使ったマイクロ研削加工技術の開発,
(4)超微粒ダイヤモンド電鋳工具の開発と超精密微細金型の試作,
平成15年度までに得られた研究の成果は以下のように整理される.
(1)'ニッケル/リン合金めっきを行うことにより,抗折力が2000MPa程度の,超微粒子超硬合金とほぼ同じ曲げ強度を持つ極微粒ダイヤモンド電鋳工具を製造できた.また,ニッケル/リン合金に共析するダイヤモンド砥粒の密度を10〜40vol%の範囲で変えることができる,工具製造技術を開発できた.
(2)'ダイヤモンド電鋳工具を直径が50μm以下のペンシル形に成形できる高速成形技術,ならびに,工具の先端を高精度に半球状および,くさび状に成形できる高精度成形技術を開発できた.
(3)'導光板に用いられているマイクロディンプルやマイクロリアクタに用いられているマイクロ溝加工を行い,試作したマイクロ研削用工具が2次元形状のマイクロ金型や3次元形状のマイクロ金型の加工に有用であることを実証した.
(4)'超精密微細なだけでなくである平滑な加工面を持つマイクロ金型を製造するため,メッシュサイズが#8000のダイヤモンド砥粒を用いた超微粒ダイヤモンド電鋳工具の開発,超微粒ダイヤモンド電鋳工具に対するツルーイングとドレッシング技術の開発,ならびに工具を用いたマイクロ金型の試作を行った.","Development of mechanical microfabrication system using microgrinding was made for the purpose to fabricate 3-dimensional micro dies and molds that could not be fabricated by the conventional techniques, such as LIGA technology and Micro Electro mechanical System MEMS. During last 2 years, the following 3 research projects were conducted.
(1)Development of high-speed electroforming technique that can produce electroformed diamond tool with superior bending strength,
(2)Development of micro truing and dressing techniques that can fabricate electroformed diamond tool to pencil-shape microgrinding tool under 0.1 mm diameter,
(3)Fabrication of 2 and 3 dimensional micro-sized dies and molds using pencil-shape microgrinding tool and ultraprecision machining center.
The results obtained could be summarized as follows;
(1)Nickel/phosphorous plating technique that can produce an electroformed diamond tool processing the same bending strength with the conventional, cemented carbide tool could be successfully developed.
(2) Micro truing and dressing techniques that can fabricate the tool end of the microgrinding tool to spherical and wedge shape could be developed using electroformed diamond tool from #3000 to #8000 in diamond mesh size.
(3)It was verified from the grinding test that the microgrinding tool could be adapted to the fabrication of 2 and 3 dimensional micro structures, such as micro-reflectors, micro-reactors and micro-prism arrays."
13135223,超弦理論に現れる様々なブレーン及び真空の行列を用いた記述とその有効性の研究,Research of superstring theories in terms of matrix model and various branes,郷六 一生,"郷六 一生 福岡工業大学, 情報工学部, 教授 (20104812)",超弦理論 / 多次元 / 行列 / ブレイン / 摂動計算 / 行列模型 / RSブレイン / 余次元 / 構成的定式化 / 量子論,,"1.超弦理論にもとづいて4次元のゲージ理論、特に量子色力学の非摂動的な側面をゲージ/弦理論対応から理解する試みを、有限温度へ拡張してハドロンやクオークの現象を理解する簡明な模型を設定して、カイラル対称性の高温での回復、カレント代数で導出されたGellMann-Oakes-Renner関係式、軽い中間子の質量などの温度依存性を計算により示して、将来の実験への予想を与えた。特に、この模型で非閉じ込め転移点近傍でのパイ中間子の速度の温度依存性などもしめして、RICHの実験との望ましい対応を見た。
また、この対応原理を宇宙項で歪められた次元時空のゲージ理論を理解するために理論を拡張して、ド・ジッター時空に置いては宇宙初期に予想される、興味ある相転移を調べた。また、アンチ・ドジッター時空においては、4次元で既に計算されたその特異な、場のスペクトルを我々の計算から得ることができてこの対応の正しさを確認できた。(郷六)
2.曲がった時空間における量子論を格子正則化により定義するため、少なくとも局所的なLorentz対称性を尊重する一つの方法を提案した。また、格子シミュレーションにより2次元の超対称模型のspectrum構造を把握する立場から、ある条件下ではmassless boson modeが存在することを示した。電子のg-2へのQEDの10次補正の計算について、現段階までで到達した内容について報告した。 (早川)
3.クォーク間ポテンシャルを弦理論を用いて評価し、異なるフレーバーを持つクォーク間に働くポテンシャルには、変曲点が現れることを示した。(菅本)","In this project the head investigator K. Ghoroku together with his collaborators applied D-brane model based on type IIB super-string theory to finite temperature Yang Mills theory, which is deformed by introducing quarks and gauge field condensate, and examined in terms of the AdS/CFT correspondence. Then he found the restored chiral symmetry, Gell-Mann-Oakes-Renner relation, and the temperature dependence of the meson mass. The author applied this model also to the gauge theory with quarks in the dS4 and AdS4 space-time, and meson mass spectra and possible phase transitions are investigated
T. Tada constructed Type IIB matrix theory that is nonpertubative and constructive formulation of superstring theories, together with other members of the project.
M. Hayakawa studied lattice regularization for the quantum theory in the curved space-time, and tried a lattice simulation to obtain a mass-less boson in 2d super-symmetric model. Then, higher order correction of the electron g-factor is shown by him.
A. Sugamoto showed a detailed structure of the potential between flavor quarks by using string theory with his collaborators.
K. Seo has been trying to make clear non-perturbative properties of QCD."
12780342,待ち行列理論によるサプライ・チェーンのモデル化及び解析,,宋 宇,"宋 宇 福岡工業大学, 情報工学部, 助教授 (30236137)",サプライ・チェーン / Bullwhip effect / 待ち行列理論 / サプライチェーンマネジメント / 待ち行列モデル / 確率モデル,社会システム工学 / 複合領域,"近年、消費者のニーズの多様化に対応する多品種・少量生産システムとして、部品メーカーから小売店からなる複数企業のサプライ・チェーンを統合する「調達・製造・流通・販売」一貫方式のマネジメントが脚光を浴びている。本研究はとくにサプライ・チェーンにおけるbullwhip effect、すなわち、下流の顧客の需要変動はそれほど大きくない場合でも、上流に行けば行くほど注文の変動が大きくなる、という現象に注目し、研究を行った結果、以下の結論が得られた。
1.実地調査で収集したデータを分析した結果、bullwhip effectの存在は確認できた。
2.Bullwhipe effectをもたらす原因として、情報伝達の遅延、生産におけるセットアップ時間・費用など技術面の要因だけではなく、取引慣行、企業間の力関係など、多岐にわたるものが考えられる。
3.セットアップ時間・費用など生産技術面においては、個々の生産システムで対応せざるを得ず、bullwhip effectを軽減する万能薬はないが、サプライ・チェーン全般としては、情報技術の飛躍的な進歩によって、情報伝達の遅延が大幅に解消され、bullwhip effectが軽減された。さらに、E-commerceの急速な発展も、従来の取引慣行に大きな地殻変動がもたらされ、bullwhip effectの減少に役立つと思われる。
上記の結論に基づき、待ち行列理論を用いて定量的な分析を試み、次のような結果が得られた。
4.生産システムを解析するのに一般的に使われる直列型待ち行列モデルでサプライ・チェーンをモデル化し、シミュレーションを行った。このようなかなり単純化されたモデルにおいてもbullwhip effectが確認できた。
5.次に、サプライ・チェーンを構成する各企業の間に、在庫および発注の情報が共有されるモデルを導入し、シミュレーションを行った。その結果、情報共有によって情報の質の劣化を防ぎ、bullwhip effectを軽減する効果が大きい、と確認された。
6.今後は、上記のモデルに対して、解析的な結果を求め実用性を高めていくことが課題である。",
12780136,障害児用CAIのためのオブジェクト指向ユーザインタフェースの実用化に関する研究,,柴田 望洋,"柴田 望洋 福岡工業大学, 情報工学部, 助教授 (80222032)",CAI / 運動機能障害 / ユーザインタフェース / オブジェクト指向 / アクセシビリティ / 障害児教育,教育工学 / 科学教育・教科教育学 / 複合領域,"教育の現場においてCAIが利用されることが多くなっているが、近年流行しているグラフィカルユーザインタフェース=GUI環境は、障害児にとって、操作性等の点で敷居が高くなりがちである。また、教育の現場においては、教師が特定の児童生徒を対象にして専用のCAIを作成することが多いが、開発コスト、汎用性等の点で多くの問題がある。
そこで、学習者の障害の種類や程度だけでなく、現在の学習局面に求められている入出力情報などに応じてダイナミックにユーザインタフェース部分を変化することによって、学習者にとって、使いやすい""やさしい""インタフェースを提供する『オブジェクト指向ユーザインタフェース』の実用化のための研究を行った。
昨年度作成した、肢体不自由児を対象とした1ないし5個のスイッチによって、1行1列方式、ブロック選択方式、任意選択方式などに対応したインタフェースの自動生成システムをもとに、国語や算数などのCAIの開発を行った。かわいいキャラクターがアニメーション表示され、学習する児童の関心を強く引き付けるものとなっている。
また、学習する自動のユーザ登録機能などを充実させたため、同一のCAIを異なるインタフェースで動作できるようになった。したがって、実用化に近づいたと考えられる。",
12750355,非線形光学効果を応用したディジタル光多値通信のための信号処理素子に関する研究,,前田 洋,"前田 洋 福岡工業大学, 情報通信工学部, 助教授 (50264073)",光導波路 / 非線形誘電体 / 波長分割多重化 / 周期構造 / 放射特性 / FDTD法 / 光スイッチ / 非線形光学効果 / 光ディジタル多値通信 / 周期構造導波路,情報通信工学 / 電気電子工学 / 工学,"本研究では、光通信システムにおける波長分割多重化方式に加えて光振幅のもつ情報をも情報伝送に利用する目的で、周期構造導波路と非線形誘電体を組み合わせた光スイッチを構成できないかを検討してきた。非線形誘電体はKerr効果およびラマン散乱を示すものと仮定し、このような非線形媒質を取り扱える「周波数依存性のある時間領域有限差分法(FD・FDTD法)」を適用した数値解析プログラムを開発して様々なシミュレーションを行ってきた。2年間にわたる主要な研究成果は次のとおりである。
(1)同一波長で電界振幅が4倍異なる2種類の入力信号に対して、最大放射の生じる角度が約45度変化した。なお、このときの入力信号は連続波である。
(2)同じく、入射信号振幅と最大放射角度の関係を調べると、放射角が大きく変化する入射電界振幅の閾値が存在した。
(3)同一振幅で波長が50nm異なる2種類の入力信号に対して最大放射角が約90度変化した。
(4)いずれの場合においても非線形光学効果の一つである高調波発生は信号波電力に比べて100分の1のオーダであった。
(5)パルス状の入力信号に対してもほぼ同様の放射特性を示した。また、パルス波が2個3個と連続的に入射する場合について、パルス間隔を十分離した場合には放射特性には変化がなかった。
以上の数値解析結果から、周期構造を有する非線形誘電体導波路は異なる振幅・波長を持つ入力光信号をそれぞれ異なる方向へ放射する光スイッチとしての機能をもつことが確かめられた。",
11780241,ソフトウェアアーキテクチャにおける依存性理論とその応用に関する基礎研究,,趙 建軍,"趙 建軍 福岡工業大学, 情報工学部, 助教授 (20299580)",ソフトウェアアーキテクチャ / スライシング技術 / ソフトウェアの理解 / 依存性解析,計算機科学 / 情報科学 / 複合領域,"本研究では信頼性の高いソフトウェアアーキテクチャの開発支援環境を基礎付けるために、ソフトウェアアーキテクチャの挙動における構成要素間の依存性関係を究明すると共に、ソフトウェアアーキテクチャにおける新しい依存性概念を提案し、ソフトウェアアーキテクチャの依存性モデルを構築することを目指す。また、構築された新しい依存性モデルをソフトウェアアーキテクチャの理解、テスト、デバック、保守、再利用、及び複雑さ計測へ適用し評価すると共に、信頼性の高いソフトウェアアーキテクチャの開発支援環境に対するその有効性を明確にすることを目指している。
本研究ではこれまで得られた主な研究成果は以下の通りである。
(1)アーキテクチャ記述における多重情報流れを表現できる有向グラフを定義した。その有向グラフに基づいて、アーキテクチャ記述における構成要素間の構造と挙動に関する依存性を洗い出して抽象化し、これらの依存性概念に基づいてアーキテクチャ記述の新しい依存性モデルを提案した。
(2)アーキテクチャ記述から依存性モデルへの変換アルゴリズムを開発した。
(3)アーキテクチャ記述の依存性モデルに基づいてアーキテクチャ記述を静的にスライスするアルゴリズムを開発した。
(4)アーキテクチャ記述の依存性に基づいてアーキテクチャ記述の複さを評価する尺度も提案した。
(5)アーキテクチャのスライスに基づいてソフトウェアアーキテクチャ再利用の新しい手法を提案した。",
11650458,背景脳波特徴の変動解析のためのスパイク波形除去法,Spike elimination for analyzing variability of background electroencephalogram,西田 茂人,"西田 茂人 福岡工業大学, 情報工学部, 教授 (10156078)",スパイク / 背景脳波 / 相似係数 / 持続変動 / P300 / 瞬目アーチファクト / 心電図アーチファクト / モルフォロジィフィルタ,制御工学 / 電気電子工学 / 工学,"背景脳波は,脳波の中でも基本となる持続的な波である.スパイクは,てんかん患者の背景脳波に埋もれて出現する突発性異常脳波であり,誘発電位は,外部刺激に対する中枢神経系の反応であり,脳波に混在して記録される.スパイクや誘発電位が発生した時の背景脳波の特徴の変動特性を明らかにするために,スパイクや誘発電位波形を高精度で除去する必要がある.また,眼球運動による瞬目アーチファクト(雑音)や心電図のアーチファクトが背景脳波中に混入して記録される場合があり,このような場合にも背景脳波の特徴を抽出するためにアーチファクトを高精度に除去する必要がある.
本研究では,背景脳波の変動特性を解析するために,記録データからスパイク波形を高精度に除去する方法の開発を目的とした.スパイク波形は,振幅のみならず,波形幅(持続)までもが変動するために,スパイク波形を検出し,高精度に除去することは容易ではない.そこで,本研究では,持続と振幅が共に変動する波形において,標準的波形パターンとの間の波形形状の近さを表わす指標として有効な相似係数を提案し,これを用いてスパイク波形の高精度除去法,およびスパイク波形の持続と振幅の変動特性を推定する方法を提案した.さらに,相似係数を,誘発電位の一つであるP300波形の抽出および変動特性の解析,瞬目アーチファクトの除去,心電図アーチファクトの除去に適用し,良好な結果を得た.相似係数は,それ以外にもいろいろな波形の除去に適用することができる.
本研究の成果としては,相似係数の提案とスパイク波形の高精度除去に関しては医用電子と生体工学の論文誌に,相似係数を用いたスパイク波形とP300波形の変動特性解析に関しては臨床神経生理学の論文誌に掲載された.さらに,瞬目アーチファクトの除去に関しては臨床神経生理学の論文誌に掲載決定され,心電図アーチファクトの除去に関しても学会での講演発表を行った.","Detection and extraction of a single waveform, which appears in electroencephalogram (EEG) data, are important step for neurophysiological diagnosis. The correlation coefficient is a useful index for correlating two similar signals of variable amplitude, but does not apply for signals of variable duration. In this study, the similarity coefficient was defined and used for extracting the single waveform of both variable duration and variable amplitude. The similarity coefficient was defined by introducing a time scale factor into the correlation coefficient to measure the similarity of two signals. A single waveform of variable duration and variable amplitude in EEG record was accurately detected and extracted by the use of the similarity coefficient. The method was evaluated by using simulation data of single waveform with noise, and then applied to actual EEG data contaminated with epileptic spikes. The spikes were accurately detected and extracted from the raw EEG data by using the similarity coefficient, and were subtracted from the raw EEG to make the background EEG stand out. By use of the similarity coefficient, the duration and the amplitude of a spike waveform were estimated. The proposed method with the similarity coefficient was applied to P300 waveform. Furthermore, a method for eliminating blink artifacts in EEG records by use of the similarity coefficient was developed and was investigated. The similarity coefficient is widely applicable for extracting any kind of burst signal of EEG record and evoked potentials to extract the characteristics of the single waveforms."
11650362,微小電子源により生成した電子ビームの計測と応用,Diagnosis and application of electron beams generated by gated field-emitter arrays,石塚 浩,"石塚 浩 福岡工業大学, 工学部, 教授 (50015517)",微小電子源 / 電子銃 / 電子ビーム / エミッタンス / スミス-パセル放射 / 分光 / 自動計測 / 光電界放出 / 電圧安定化 / スミスーパセル放射 / 回折格子 / 自由電子レーザー / 分光測光,電子デバイス・機器工学 / 電気電子工学 / 工学,"1.微小電子源により生成される電子ビームの特性
シリコンを基盤とする微小電子源陰極から生成した電子ビームの性質を、蛍光像の画像処理を通して調べた。2段ゲート型微小電子源のティップから出る各ビームレットの規格化エミッタンスは10^<-9>πmrad台と測定された。半径0.1mmの陰極から出たビームは、半径約0.1mmのスポットに絞られた。
2,エネルギー120keVまでのビーム加速
微小電子源を陰極をする3極構造の小型電子銃を製作し、先ず安定化直流電源を用いて45keVまでの電子ビームを生成した。次いで公称出力350kV10μAの小型ヴァンデグラフ静電発生器によって更に高エネルギーへの加速を行った。陰極柄を通す絶縁管として定格30kVのセラミック製絶縁管4本を用い、またコンピュータによるヴァンデグラフ静電発生器の出力電圧安定化を施した結果、目標とした100keVを超えるエネルギー120keV(電流値3μA)までの安定な電子ビームを生成した。
3.スミス-パセル放射実験
回折格子表面に沿って電子ビームを伝搬させ、放射されるスミス-パセル光を格子上方80度の向きで調べた。広範な電子ビームパラメタについてデータを得る為に、パソコンの指令によって分光器を走査し、各波長の光の強度を加速電圧及びビーム電流とともに取り込んで処理する、自動走査分光系を開発した。これを用いて、15-60keVの電子エネルギーと350-750nmの可視全波長領域を網羅する形で測定を行った結果、スミス-パセル理論と良く一致する光を放射次数-2から-5に亘って検出した。電子ビームの電流値を10μA、更に1μAに低くしても、スペクトルのピークが明瞭に観測された。本実験で見出された主な問題点は、回折格子が電子衝撃によって損傷を被ることであって、微小電子源並びにそれを陰極として生成される電子ビームは電磁波発生等への応用可能性を有すると結論される。
4.微小電子源のレーザー光照射
100mWのYAG2倍波レーザーで微小電子源を照射し、電界放出電流値が増加することを確認した。","Electron beams produced by a triode gun with a field-emitter array (FEA) cathode were examined and applied to generate visible Smith-Purcell radiation.
1. Charactereistics of the electron beam
The beam was diagnosed by means of image processor which analyzed fluorescent patterens formed at 1 m from the FEA.The rms normalized emittance of beamlet emitted from each tip was in the range of 10^<-8> to 10^<-9> π m-rad. The spot size of the beam was approximately equal to the size of the emitting area of FEAs.
2. Beam acceleration up to 120 keV
A high voltage was applied to the cathode by a small Van de Graaff generator equipped with a feedback control system. The cahode shank was passed through four ceramic isolators rated at 30 kV to achieve beam energies up to 120 keV.
3. Generation of Smith-Purcell radiation
Smith-Purcell light was emitted by 15-60 keV electron beams grazing a replica diffraction grating. Automatic scanning measurement of spectra covered 350-750 nm wavelengths and detected the peaks for radiation orders of -2 to -5.
4. Photoelectric field emission
The electron emission increased significantly when illuminating the FEA with a 100 mW YAG laser (2ω_o) beam which was focused to the order of 10^7 W/m^2."
11640196,局所凸空間上の正則関数の拡張,The extension of holomorphic functions on locally convex spaces,西原 賢,"西原 賢 福岡工業大学, 情報工学部, 教授 (20112287)",整関数 / 位相テンソル積 / 積分型多項式 / 核型空間 / リッチ曲率 / ホモロジー群 / 双曲・楕円混合方程式 / ボルツマン方程式 / 局所凸空間 / 位相テンソル積表現 / 一様有界型 / 離散型方程式 / 核形空間 / 一様有界型正則写像 / 正則拡大 / π-位相 / ε-位相 / 積分型写像 / Weak Typeの正則写像,基礎解析学 / 数学 / 理学,"研究代表者の西原 賢はEとFが複素局所凸空間で、EがFの閉部分空間であるとき、どのような場合にE上の整関数fがF上の整関数に拡張されるかという問題について研究し、多項式の位相テンソル積表現を使って整関数fが積分型多項式であるとき、fはF上の積分型多項式に拡張されることを示した。これはCarando and Zalduendo(Proc.Amer.Math.Soc.,1999)の結果の拡張と別証を与えている。この結果を使って、Eが核型空間でE上の整関数fが一様有界型であるとき、fはF上の整関数に拡張されることを示した。これはMeise and Vogt(Proc.Amer.Math.Soc.,1984)の結果の拡張である。現在、この結果を核型空間以外の局所凸空間に拡張することを目指している。
研究分担者の糸川 銚は名古屋大学の小林亮一氏と共同で、リッチ曲率が正の完備非コンパクト多様体のn-1次元ホモロジー群は自明であるという有名な予想に取り組み、多くの重要な場合に対して、この予想が成立することを示した。更に、リッチ曲率が非負のときのn-1ホモロジー群の分類まで成功した。
研究分担者西畑 伸也東京工業大学情報理工学部助教授は、この期間において主に双曲・楕円混合方程式と離散型方程式について研究した。前者では熱輻射を考慮した気体の運動方程式を一般化したものである。その簡単なモデル方程式に対して進行波解の一意的存在及び安定性を示した。さらに双曲型部分の影響により、ある条件化で古典解が存在しないことを示し、弱解の考察を行った。ここでは、エントロピー条件を課すことで弱解の時間大域的存在及び漸近状態を得た。一般の双曲・楕円混合方程式に対しては初期値がソボレフ空間に含まれ、十分に小さいとき時間大域解の存在を示し漸近状態を得た。さらに時間大域的に解が拡散波に漸近することを示した。後者ではボルツマン方程式を研究し、1次元半空間上での定常解の存在及び安定性を証明した。ここでは境界条件として純拡散型と反射型を採用し、その各々に対して前記の結果を得ている。","Let E be a closed complex linear subspace of a complex locally convex space F.Then, Nishihara(HEAD INVESTIGATOR)investigated the problem to ask when an entire function f on E can be extended to an entire function on F.Firstly, by using the topological tensor product representation of polynormials on locally convex spaces, he proved that a polynomial f of integral type on E can be extended to a polynomial of integral type on F.Moreover, in case that E is a nuclear space, by using the above result he proved that an entire function f of uniform bounded type on E can be extended to an entire function F.This is an extension of Meise-Vogt' result(Proc.Amer.Math.Soc.1984).
Itokawa(INVESTIGATORS)investigated togather with Ryouich Kobayashi a famous conjecture that n-1 homology group on a complete non-compact manifold M with positive Ricci curvature is trivial, and showed that this conjecture is true in a lot of important cases. Moreover they succeeded in classifying n-1 homology group in case that M is a complete non-compact manifold M with non-negative Ricci curvature.
Nishibata(INVESTIGATORS)investigated hyperbolic-elliptic coupled systems and the discrete Bolzmann equation. For these equations they investigated the existence and uniqueness of solutions and the non-existence of classical solutions with certain conditions."
10650386,移動通信における地下街等の分岐及び空間をもつ地下構築物内の電波伝搬,Electromagnetic wave propagation in underground structures which have junctions and hollow places for mobile telecommunications,松永 利明,"松永 利明 福岡工業大学, 情報工学部, 教授 (40148911)",FVTD法 / レイ・トレース法 / トンネル内電波伝搬 / 室内電波伝搬 / 地下構築物 / 電波伝搬 / トンネル / レイ・トレース,情報通信工学 / 電気電子工学 / 工学,"移動体通信は、今日の情報化社会に加速度的に普及し、その重要性は益々高まりつつある。しかしながら、地下街、ビル構内などの構築物内では、電波伝搬特性によりそれらの使用が制限されている。特に分岐・折れ曲がり方向への電波伝搬特性はかなり悪化することが分かっている。遮蔽壁があるトンネル構造の地下構築物空間における電波伝搬におけるこれまでの研究は、一様なトンネル内における伝搬特性の解明、すなわち伝搬モードの減衰特性に関するものが主流であった。本研究では、地下街やビル構内等で基本的な分岐・折れ曲がりと空間をもつ地下構築物を取り上げ、実用的な観点から理論解析と実験的検討を進めようとするもので、従来の研究からの大きな前進を得ることが期待できる。理論的には構築物内の電波伝搬問題にFVTD法(任意の小さい多面体セルに対して、マクスウェルの方程式を体積積分することによって離散化される差分方程式)とレイ・トレース法の導入によるものである、我々は、このFVTD法の適用が2次元の一様トンネルに対して極めて有効であるとの知見を既に得ている。10年度は、円形2次元トンネル内、分岐のあるトンネル内及びビルの廊下等の電波伝搬解析、11年度は、複数のH形分岐をもつ方形トンネル内及び住宅における室内電波伝搬、12年度は、構築物内の任意の場所に線状波源をおいた分岐折れ曲がりをもつ2次元トンネル、すなわち、左右の壁のみの効果についてはFVTD法を適用し、同方形トンネル及びビル構内の伝搬についてはレイ・トレース法を適用して解析した。いずれの年度も理論的な数値計算と並行して、マイクロ波を用いた縮小模型の実験装置を開発してトンネル内伝搬実験を実施することにより、多数のデータを得て,設定問題におけるトンネル内の電界強度分布を明らかにし,理論解析の数値計算結果とよく一致することを実証した。また、コンクリート壁内部に電波伝搬についても理論的にFVTD法及びレイトレース法を適用し、実験ではコンクリート内部の伝搬状態の概略を知ることにより、両者を比較検討することができた。従って,地下構築物内の基本的な分岐折れ曲がりをもつトンネルに対して、FVTD法の有効性を明らかにすることができた.また、分岐折れ曲がりをもつ方形トンネルに対してはレイ・トレース法が有効であることを明らかにした.これらの研究成果については,学術論文,研究会及び学会講演等に発表している.今後は,実際の地下構築物をモデルとした複雑な形状のトンネル3次元問題を理論的及び実験的な両面からの解決を図る必要がある.","Mobile telecommunications have spread out today's information society rapidly. However, since propagation characteristics of electromagnetic waves are getting worse inside underground passages and buildings with junctions and sharp bends, it is often extremely difficult to use mobile telecommunication systems inside these structures. That which are presented in this research are theoretical analyses and experimental measurements for the efficient use of electromagnetic waves in underground structures, which have basic junctions, sharp bends and passages. The method which are applied to theoretical analyses are FVTD method and Ray Tracing method. In 1998, electromagnetic waves are analysed which propagate inside a two-dimensional tunnel with a round cross section, a square tunnel with a junction, and a passageway of a building. That which are analysed in 1999 are electromagnetic waves which propagate inside a square tunnel with multiple H-junctions, and a house room. In 2000, the structure is considered which have a line-source situated inside an arbitrary point of a two-dimensional tunnel with a junction and a sharp bend. In this case, the effects only from side walls are analysed by FVTD method. Moreover, Ray Tracing method is applied to analyze electromagnetic waves which propagate inside a square tunnel and a building. At the same time, 1998 through 2000, experimental measurements are applied to measure field distributions inside scale models of the presented structures using microwaves. It should be noted that the numerical results are in good agreement with the experimental data. Thus, the results show that FVTD method and Ray Tracing method could be effective numerical analyses of the underground structures which have junctions and sharp bends."
